#	,女字	,汉字	,笔数	,读音	,疑点	,偏旁	,备注			,ss1,ss2,ss3,ss4,,ss9,ss10
u1B22B	,𛈫	,处	,7	,tchyu21	,	,x𛇝	,			, , , , ,_, , 
u1B22C	,𛈬	,书[树舒赎粟]	,7	,cyu44	,	,𛆨⺈	,			,输, , , ,_, , 
u1B22D	,𛈭	,配[譬佩]	,7	,phw21	,	,:𛇈	,			, , , , ,_, , 
u1B22E	,𛈮≠抆!	,魂[坟]	,7	,fai42	,字形？	,𛆀.𛅼	,up!=坟			, , , , ,_, , 
u1B22F	,𛈯	,尽[进]	,7	,tsai13	,	,𛅼⁘	,			, , , , ,_, , 
u1B230	,𛈰	,楼	,7	,lou42	,	,朩𛅼	,			, , , , ,_, , 
u1B231	,𛈱	,昨[座浊]	,7	,tsou5	,柳叶对应“做”，替换	,𛅳?	,可对应“作”，但𛇎占用了	, , , , ,_, , 
u1B232	,𛈲	,包[胞剥饱]	,7	,piou44	,	,𛅳?	,			, , , , ,_, , 
u1B233	,𛈳	,茅[卯苗酉]	,7	,miou13	,	,?	,			, , , , ,_, , 
u1B234	,𛈴	,臭	,7	,tchiou21	,	,o𛇂	,			, , , , ,_, , 
u1B235	,𛈵	,肉	,7	,njiou33	,变体迥异	,𛆫𛅳	,比较p14￫肉，阳焕宜用.𛅼.		,宍, , , ,_,宍,〃
u1B236	,𛈶	,有[友]	,7	,iou13	,	,𛅲𛇈	,			, , , , ,_, , 
u1B237	,𛈷	,难[能]	,7	,nuow42	,	,𛅼𛆧	,			, , , , ,_, , 
u1B238	,𛈸	,耕	,7	,kuow44	,字形？	,𛆦𛆉	,			, , , , ,_, , 
u1B239	,𛈹	,喊	,7	,huow21	,	,o?	,			, , , , ,_, , 
u1B23A	,𛈺	,半[伴般帮搬啄放]	,7	,pang44	,	,𛅳半	,女漢￫伴		, , , , ,_, , 
u1B23B	,𛈻	,我	,7	,ngu13	,形似𛈪	,𛅳𛆨	,			,瓦, , , ,_, , 
u1B23C	,𛈼	,将[纵浆蒋匠]	,7	,tsiang44	,字形？	,..⼢.. \ .𛇇.	,			, , , , ,_, , 
u1B23D	,𛈽	,长[从详祥]	,7	,tsiang42	,	,)𛆉③?	,女漢￫長			, , , , ,_, , 
u1B23E	,𛈾	,常[暖尝偿雄熊裳]	,7	,ciang42	,	,𛆓𛇝[连笔]	,up!		, , , , ,_, , 
u1B23F	,𛈿	,阳[羊杨扬洋容蓉绒融]	,7	,iang42	,	,半:	,		, , , , ,_, , 
u1B240	,𛉀	,宁[灵零龄论]	,7	,liong42	,	,𛅳𛅳𛅿?	,			, , , , ,_, , 
u1B241	,𛉁	,请	,7	,tshiong35	,	,.𛇈.	,			, , , , ,_, , 
u1B242	,𛉂	,声	,7	,ciong44	,字形？	,。	,			,兄, , , ,_, ,〃
u1B243	,𛉃	,显[险掀现扇]	,7	,cing35	,	,𛅷𛆉𛅶	,			, , , , ,_, , 
u1B244	,𛉄≈里	,里[理鲤李履懒裹旦]	,8	,la13	,	,。	,		, , , , ,_, , 
u1B245	,𛉅	,谁[垂婿诉数述随]	,8	,cya42	,	,𛇕𛅼?	,		, , , , ,_, , 
u1B246	,𛉆	,排[匹]	,8	,poe42	,	,ㆬШ	,			, , , , ,_, , 
u1B247	,𛉇	,胎	,8	,thoe44	,	,𛇷Λ	,			, , , , ,_, , 
u1B248	,𛉈	,奈[耐挪]	,8	,noe33	,字形？	,𛅳𛇯	,up!			, , , , ,_, , 
u1B249	,𛉉	,卷[钗捐]	,8	,tshoe44	,字形？	,x𛈆	,			, , , , ,_, , 
u1B24A	,𛉊	,家[佳助加瓜]	,8	,kue44	,字形？似𛈤	,)V𛆳	,			,宅, , , ,_, , 
u1B24B	,𛉋	,就[绸坤]	,8	,tsiou33	,	,𛅳𛈌	,			, , , , ,_, , 
u1B24C	,𛉌	,嫁[揩架价街皆阶挂怪]	,8	,kue21	,	,x𛆧x	,		,[],卦, , ,_, ,[〃]
u1B24D	,𛉍	,云[爹爷]	,8	,ye42	,	,.𛈑.	,			, , , , ,_, , 
u1B24E	,𛉎	,比[彼宝保板壁榜扳]	,8	,pwe35	,	,𛅶𛇽	,		, , , , ,_, , 
u1B24F	,𛉏	,哑	,8	,vwe35	,	,o亚	,			, , , , ,_, , 
u1B250	,𛉐	,铁[踢贴]	,8	,thi5	,	,o𛇴	,			, , , , ,_, , 
u1B251	,𛉑	,赠	,8	,tsi42	,柳叶对应“祭”，替换	,𛅼𛇈	,		, , , , ,_, , 
u1B252	,𛉒	,齐[残惨济祭秦]	,8	,tsi42	,	,龵⁘	,			, , , , ,_, , 
u1B253	,𛉓	,计[及绪兆站植占注季跽继既叫忌纪桂直照记寄]	,8	,tci21	,字形？	,o※	,	, , , , ,_, , 
u1B254	,𛉔	,赵	,8	,tci21	,	,x𛈔	,女漢￫徛			, , , , ,_, , 
u1B255	,𛉕	,跳[剃]	,8	,tshiu21	,	,⻊⼢	,比较￫跳			, , , , ,_, , 
u1B256	,𛉖	,步[薄抱部玻晡布博补甫婆蒲破铺扑]	,8	,pu33	,形近𛉤	,𛆓𛆓	,	, , , , ,_, , 
u1B257	,𛉗	,茶[查锄搽]	,8	,tsu42	,字形？	,𛅰𛅼不?	,			, , , , ,_, , 
u1B258	,𛉘	,过[逼癞赖的推]	,8	,ku21	,	,Ɛ※?	,			, , , , ,_, , 
u1B259	,𛉙	,珠[朱拄具]	,8	,tcyu44	,	,o𛆗o	,			, , , , ,_, , 
u1B25A	,𛉚	,玉[窝往]	,8	,njyu33	,	,𛅶𛅶𛆧	,			, , , , ,_, , 
u1B25B	,𛉛	,娶[岂启]	,8	,tchy35	,	,𛅼𛇈	,			, , , , ,_, , 
u1B25C	,𛉜	,北	,8	,pw5	,字形？	,Ɛ𛆁Ȝ	,up!			, , , , ,_, , 
u1B25D	,𛉝	,舍[海笋损耍舜捨]	,8	,hw35	,形似𛋱	,𛅳𛇺	,		, , , , ,_, , 
u1B25E	,𛉞	,品	,8	,phai35	,	,o口o	,			, , , , ,_, , 
u1B25F	,𛉟	,慢[孟米每蜜庙妙买谋问]	,8	,mai33	,形近𛉶	,𛆳𛅼	,		, , , , ,_, , 
u1B260	,𛉠	,等	,8	,lai35	,字形？	,𛆢?	,			, , , , ,_, , 
u1B261	,𛉡	,信[讯]	,8	,sai21	,	,𛅳𛈔	,			, , , , ,_, , 
u1B262	,𛉢	,红[洪鸿]	,8	,hai42	,	,Ɛ𛆃…	,女漢￫紅			, , , , ,_, , 
u1B263	,𛉣	,冒[帽]	,8	,mau33	,	,忄𛇈	,女漢￫怕，存疑			, , , , ,_, , 
u1B264	,𛉤	,草[吵炒楚]	,8	,tshau35	,形近𛉖	,𛅿𛅰𛅿𛅰?	,			, , , , ,_, , 
u1B265	,𛉥≈号	,号	,8	,hau33	,	,口𛆺?	,			, , , , ,_, , 
